concept_id,concept_name,standard_concept,sourceCode
44777602,kilopascal,S,pCO2
44777602,kilopascal,S,PaO2
8876,millimeter mercury column,S,pCO2
8876,millimeter mercury column,S,PaO2
8753,millimole per liter,S,HCO3
8753,millimole per liter,S,Base excess
3003396,Base excess in Arterial blood by calculation,S,Base excess
3019977,pH of Arterial blood,S,pH
3008152,Bicarbonate [Moles/volume] in Arterial blood,S,HCO3
3027946,Carbon dioxide [Partial pressure] in Arterial blood,S,pCO2
3027801,Oxygen [Partial pressure] in Arterial blood,S,PaO2
