concept_id,concept_name,standard_concept,sourceCode
4051330,Continuous venovenous hemofiltration,S,LCOS - renal support (CVVH/ PD)
4123933,Admission to pediatric intensive care unit,S,ICU ward stay
4295705,Exploratory incision,S,Surgical injury - Reexplore for bleeding
377091,Seizure,S,Neurological injury - seizure
439847,Intracranial hemorrhage,S,Neurological injury - intracranial haemmhorage/ intracranial bleeding
4308537,Injury to blood vessel during surgery,S,Surgical injury - Blood Loss
321042,Cardiac arrest,S,LCOS - Cardiac arrest
443454,Cerebral infarction,S,Neurological injury - infarction
4185565,Low cardiac output syndrome,S,Low cardiac output state (LCOS) - ECMO
4185565,Low cardiac output syndrome,S,LCOS - NEC requiring treatment
42537043,CLABSI - central line associated bloodstream infection,S,CVL infections
4306136,Chylothorax,S,Surgical injury - Chylothorax
