concept_id,concept_name,standard_concept,sourceCode
4049734,Banding of pulmonary artery,S,Application of band to pulmonary artery
4019929,Repair of tetralogy of Fallot,S,Unspecified repair of tetralogy of fallot
4019932,Arterial switch operation,S,Repositioning of transposed great arteries
4017751,Repair of total anomalous pulmonary venous connection,S,Unspecified correction of total anomalous pulmonary  venous connection
4020376,Closure of defect of interatrial septum using pericardial patch,S,Primary repair of defect of interatrial septum NEC/repair of defect of interatrial septum using pericardial patch
4020506,Creation of valved conduit between right ventricle of heart and pulmonary artery,S,Revision of cardiac conduit nec/creation of valved conduit between Right ventricle of heart and Pulmonary artery/replacement of valved cardiac conduit/ replacement of pulmonary valve nec
4019950,Revision of valved cardiac conduit,S,Revision of cardiac conduit nec/creation of valved conduit between Right ventricle of heart and Pulmonary artery/replacement of valved cardiac conduit/ replacement of pulmonary valve nec
4020508,Repair of sinus venosus,S,Correction of persistent sinus venosus
4018441,Repair of partial anomalous pulmonary venous connection,S,Correction of partial anomalous pulmonary venous drainage
4020520,Open aortic valvotomy,S,Open aortic valvotomy
4018747,Operations on the left ventricular outflow tract,S,Repair of subaortic stenosis
4019233,Creation of shunt from subclavian artery to pulmonary artery using interposition tube prosthesis,S,Unspecified creation of shunt to pulmonary artery from subclavian artery using interposition tube pr
4019237,Anastomosis of vena cava to pulmonary artery,S,Creation of anastomosis to pulmonary artery from vena cava
4018926,Repair of pulmonary artery,S,Other specified : repair of pulmonary artery
4021725,Removal of band from pulmonary artery,S,Removal of band from pulmonary artery
4019026,Plastic repair of aorta,S,Other specified: plastic repair of aorta
4020812,Plastic repair of aorta and end-to-end anastomosis of aorta,S,Plastic repair of aorta and end to end anastomosis of aorta
4019028,Release of vascular ring of aorta,S,Release of vascular ring of aorta
44790092,Relief of left ventricular outflow tract obstruction,S,Relief of left ventricular outflow tract obstruction
44789857,Total cavopulmonary connection with extracardiac inferior caval vein to pulmonary artery conduit,S,Total cavopulmonary connection with extracardiac inferior caval vein topulmonary artery conduit
4336751,Allotransplant of heart,S,Unspecified other transplantation of heart/allotransplantation of heart NEC
4049979,Repair of double outlet right ventricle,S,Repair of double outlet right ventricle
4050114,Closure of ductus arteriosus with clip,S,Closure of patent ductus arteriosus NEC
4052536,Extracorporeal membrane oxygenation,S,Extracorporeal membrane oxygenation
44790415,Aortic root replacement using pulmonary valve autograft with right ventricle to pulmonary artery valved conduit and aortoventriculoplasty,S,Aortic root pulmonary valve autograft with right vent to pulmonary artery valved conduit/ aortic root pulmonary valve autograft with right vent to pulmonary artery aortoventriculoplasty
4144921,Implantation of cardiac pacemaker,S,Implantation of cardiac pacemaker system NEC
4137127,Transplantation of heart,S,Unspecified other transplantation of heart/allotransplantation of heart NEC
44793133,Aortopulmonary reconstruction with systemic to pulmonary arterial shunt,S,Aortopulmonary reconstruction with systemic to pulmonary arterial shunt
4293619,Repair of tricuspid valve,S,Tricuspid valve repair NEC
4296790,Transposition of coronary artery,S,Transposition of coronary artery NEC
4139214,Open implantation of cardiac ventricular assist device,S,Open implantation of ventricular assist device
4178479,Replacement of valved cardiac conduit,S,Revision of cardiac conduit nec/creation of valved conduit between Right ventricle of heart and Pulmonary artery/replacement of valved cardiac conduit/ replacement of pulmonary valve nec
40486525,Primary repair of defect of atrioventricular septum,S,Primary repair of defect of atrioventricular septum NEC/repair of persistent ostium primum/repair of persistent ostium primum
4187380,Repair of ostium primum defect,S,Primary repair of defect of atrioventricular septum NEC/repair of persistent ostium primum/repair of persistent ostium primum
4199899,Closure of ventricular septal defect,S,Unspecified repair of defect of interventricular septum
4203153,Replacement of mitral valve,S,Replacement of mitral valve NEC
4217615,Plication of diaphragm,S,Plication of diaphragm
4308136,Complete repair of tetralogy of Fallot with transannular patch,S,Repair of tetralogy of fallot using transannular patch
4312194,Repair of heart valve,S,Aortic valve repair NEC
4339184,Replacement of pulmonary valve,S,Revision of cardiac conduit nec/creation of valved conduit between Right ventricle of heart and Pulmonary artery/replacement of valved cardiac conduit/ replacement of pulmonary valve nec
4232476,Repair of ventricular septal defect with prosthesis,S,Repair of defect of interventricular septum using prosthetic patch/unspecified repair of defect of interventricular septum
