concept_id,concept_name,standard_concept,sourceCode
4129275,Continuous infusion,S,factor VIII dose is continuous infusion or bolus dose
4265597,Single bolus,S,factor VIII dose is continuous infusion or bolus dose
40492862,Method of drug administration,S,factor VIII dose is continuous infusion or bolus dose
9655,microgram,S,desmopressin
8985,international unit per milliliter,S,factor VIII
8576,milligram,S,desmopressin
9662,microgram per kilogram,S,desmopressin
1517070,desmopressin,S,desmopressin
21154209,Factor VIII 2000 UNT Injection [Kogenate Bayer],S,factor VIII
35766745,Factor VIII 250 UNT Injection [Advate],S,factor VIII
40745282,emicizumab 150 MG/ML Injectable Solution [Hemlibra],S,factor VIII
35831239,factor VII 250 UNT Injection [Eloctate],S,factor VIII
