sourceCode,concept_id
Aortic root pulmonary valve autograft with right vent to pulmonary artery valved conduit/ aortic root pulmonary valve autograft with right vent to pulmonary artery aortoventriculoplasty ,44790415 
Aortic valve repair NEC ,4312194 
Aortopulmonary reconstruction with systemic to pulmonary arterial shunt ,44793133 
Application of band to pulmonary artery ,4049734 
Closure of patent ductus arteriosus NEC ,4050114 
Correction of partial anomalous pulmonary venous drainage ,4018441 
Correction of persistent sinus venosus ,4020508 
Creation of anastomosis to pulmonary artery from vena cava ,4019237 
Extracorporeal membrane oxygenation ,4052536 
Implantation of cardiac pacemaker system NEC ,4144921 
Open aortic valvotomy ,4020520 
Open implantation of ventricular assist device ,4139214 
Other specified : repair of pulmonary artery ,4018926 
Other specified other operations on ventricles of heart ,44510968 
Other specified: plastic repair of aorta ,4019026 
Plastic repair of aorta and end to end anastomosis of aorta ,4020812 
Plication of diaphragm ,4217615 
Primary repair of defect of atrioventricular septum NEC/repair of persistent ostium primum/repair of persistent ostium primum ,4187380 
Primary repair of defect of atrioventricular septum NEC/repair of persistent ostium primum/repair of persistent ostium primum ,40486525 
Primary repair of defect of interatrial septum NEC/repair of defect of interatrial septum using pericardial patch ,4020376 
Release of vascular ring of aorta ,4019028 
Relief of left ventricular outflow tract obstruction ,44790092 
Removal of band from pulmonary artery ,4021725 
Repair of defect of interventricular septum using prosthetic patch/unspecified repair of defect of interventricular septum ,4232476 
Repair of double outlet right ventricle ,4049979 
Repair of tetralogy of fallot using transannular patch ,4308136 
Repair of subaortic stenosis ,4018747 
Replacement of mitral valve NEC ,4203153 
Repositioning of transposed great arteries ,4019932 
Revision of cardiac conduit nec/creation of valved conduit between Right ventricle of heart and Pulmonary artery/replacement of valved cardiac conduit/ replacement of pulmonary valve nec ,4339184 
Revision of cardiac conduit nec/creation of valved conduit between Right ventricle of heart and Pulmonary artery/replacement of valved cardiac conduit/ replacement of pulmonary valve nec ,4019950 
Revision of cardiac conduit nec/creation of valved conduit between Right ventricle of heart and Pulmonary artery/replacement of valved cardiac conduit/ replacement of pulmonary valve nec ,4020506 
Revision of cardiac conduit nec/creation of valved conduit between Right ventricle of heart and Pulmonary artery/replacement of valved cardiac conduit/ replacement of pulmonary valve nec ,4178479 
Total cavopulmonary connection with extracardiac inferior caval vein topulmonary artery conduit ,44789857 
Transposition of coronary artery NEC ,4296790 
Tricuspid valve repair NEC ,4293619 
Unspecified creation of shunt to pulmonary artery from subclavian artery using interposition tube pr ,4019233 
Unspecified other transplantation of heart/allotransplantation of heart NEC ,4137127 
Unspecified other transplantation of heart/allotransplantation of heart NEC ,4336751 
Unspecified repair of defect of interventricular septum ,4199899 
Unspecified repair of tetralogy of fallot ,4019929 
Unspecified correction of total anomalous pulmonary  venous connection ,4017751 
