concept_id,concept_name,standard_concept,sourceCode
37393608,Factor VIII inhibitor activity,S,factor VIII inhibitor status
4126681,Detected,S,factor VIII inhibitor status
9190,Not detected,S,factor VIII inhibitor status
4056830,Severe hereditary factor VIII deficiency disease,S,hemophilia A subtype/ severity
4094223,Mild hereditary factor VIII deficiency disease,S,hemophilia A subtype/ severity
434007,Hereditary factor VIII deficiency disease,S,hemophilia A diagnosis
4140661,Moderate hereditary factor VIII deficiency disease,S,hemophilia A subtype/ severity
8582,centimeter,S,height
9529,kilogram,S,body weight
8504,gram,S,body weight
9546,meter,S,height
3025315,Body weight,S,body weight
3036277,Body height,S,height
3003694,ABO and Rh group [Type] in Blood,S,blood group
