concept_id,concept_name,standard_concept,sourceCode
4096101,Measurement of oxygen saturation at periphery,S,SpO2
8483,counts per minute,S,Age-dependent HR
8483,counts per minute,S,Age-dependent RR
8554,percent,S,SpO2
8876,millimeter mercury column,S,SBP (Systolic Blood Pressure)
8876,millimeter mercury column,S,DBP (Dyastolic Blood Pressure)
3027018,Heart rate,S,Age-dependent HR
3012888,Diastolic blood pressure,S,DBP (Dyastolic Blood Pressure)
3004249,Systolic blood pressure,S,SBP (Systolic Blood Pressure)
3024171,Respiratory rate,S,Age-dependent RR
