concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,sourceCode
21603754,Monoclonal antibodies,Drug,ATC,ATC 4th,C,L01XC,19700101,20991231,NA,Monoclonal Antibodies
1836430,sulfamethoxazole,Drug,RxNorm,Ingredient,S,10180,19700101,20991231,NA,Trimethoprim-Sulfamethoxazole
1836948,tetracycline,Drug,RxNorm,Ingredient,S,10395,19700101,20991231,NA,Tetracycline
902722,tobramycin,Drug,RxNorm,Ingredient,S,10627,19700101,20991231,NA,Tobramycin
1705674,trimethoprim,Drug,RxNorm,Ingredient,S,10829,19700101,20991231,NA,Trimethoprim-Sulfamethoxazole
1707687,vancomycin,Drug,RxNorm,Ingredient,S,11124,19700101,20991231,NA,Vancomycin
19010400,fusidate,Drug,RxNorm,Ingredient,S,113608,20060514,20991231,NA,Fusidic acid
45892419,gentamicin,Drug,RxNorm,Ingredient,S,1596450,20150302,20991231,NA,Gentamicin
45892599,ceftolozane,Drug,RxNorm,Ingredient,S,1597609,20150302,20991231,NA,Ceftolozane-Tazovactam
46221507,avibactam,Drug,RxNorm,Ingredient,S,1603834,20150504,20991231,NA,Ceftazidime-Avibactam
1734104,azithromycin,Drug,RxNorm,Ingredient,S,18631,19700101,20991231,NA,Azithromycin
1736887,linezolid,Drug,RxNorm,Ingredient,S,190376,19700101,20991231,NA,Linezolid
1748975,cefepime,Drug,RxNorm,Ingredient,S,20481,19700101,20991231,NA,Cefepime
1750500,clarithromycin,Drug,RxNorm,Ingredient,S,21212,19700101,20991231,NA,Clarithromycin
1769535,cefadroxil,Drug,RxNorm,Ingredient,S,2177,19700101,20991231,NA,Cefadroxil
1771162,cefazolin,Drug,RxNorm,Ingredient,S,2180,19700101,20991231,NA,Cefazolin
1774470,cefotaxime,Drug,RxNorm,Ingredient,S,2186,19700101,20991231,NA,Cefotaxime
1776684,ceftazidime,Drug,RxNorm,Ingredient,S,2191,19700101,20991231,NA,Ceftazidime
1776684,ceftazidime,Drug,RxNorm,Ingredient,S,2191,19700101,20991231,NA,Ceftazidime-Avibactam
1778162,cefuroxime,Drug,RxNorm,Ingredient,S,2194,19700101,20991231,NA,Cefuroxime
1786617,daptomycin,Drug,RxNorm,Ingredient,S,22299,19700101,20991231,NA,Daptomycin
1797513,ciprofloxacin,Drug,RxNorm,Ingredient,S,2551,19700101,20991231,NA,Ciprofloxacin
997881,clindamycin,Drug,RxNorm,Ingredient,S,2582,19700101,20991231,NA,Clindamycin
901845,colistin,Drug,RxNorm,Ingredient,S,2709,19700101,20991231,NA,Colistin
1709170,meropenem,Drug,RxNorm,Ingredient,S,29561,19700101,20991231,NA,Meropenem
1717963,ertapenem,Drug,RxNorm,Ingredient,S,325642,19700101,20991231,NA,Ertapenem
1518254,dexamethasone,Drug,RxNorm,Ingredient,S,3264,19700101,20991231,NA,Dexamethasone
1741122,tazobactam,Drug,RxNorm,Ingredient,S,37617,19700101,20991231,NA,Piperacillin-Tazobactam
1741122,tazobactam,Drug,RxNorm,Ingredient,S,37617,19700101,20991231,NA,Ceftolozane-Tazovactam
1746940,erythromycin,Drug,RxNorm,Ingredient,S,4053,19700101,20991231,NA,Erythromycin
951511,mupirocin,Drug,RxNorm,Ingredient,S,42372,19700101,20991231,NA,Mupirocin
956653,fosfomycin,Drug,RxNorm,Ingredient,S,4550,19700101,20991231,NA,Fosfomycin
1759842,clavulanate,Drug,RxNorm,Ingredient,S,48203,19700101,20991231,NA,Amoxicillin clavulanate
975125,hydrocortisone,Drug,RxNorm,Ingredient,S,5492,19700101,20991231,NA,Hydrocortisone
1778262,imipenem,Drug,RxNorm,Ingredient,S,5690,19700101,20991231,NA,Imipenem
19078399,teicoplanin,Drug,RxNorm,Ingredient,S,57021,19700101,20991231,NA,Teicoplanin
1790868,amikacin,Drug,RxNorm,Ingredient,S,641,19700101,20991231,NA,Amikacin
1506270,methylprednisolone,Drug,RxNorm,Ingredient,S,6902,19700101,20991231,NA,Methylprednisolone
1713332,amoxicillin,Drug,RxNorm,Ingredient,S,723,19700101,20991231,NA,Amoxicillin clavulanate
1713332,amoxicillin,Drug,RxNorm,Ingredient,S,723,19700101,20991231,NA,Amoxicillin
1717327,ampicillin,Drug,RxNorm,Ingredient,S,733,19700101,20991231,NA,Ampicillin
920293,nitrofurantoin,Drug,RxNorm,Ingredient,S,7454,19700101,20991231,NA,Nitrofurantoin
1721543,norfloxacin,Drug,RxNorm,Ingredient,S,7517,19700101,20991231,NA,Norfloxacin
1724703,oxacillin,Drug,RxNorm,Ingredient,S,7773,19700101,20991231,NA,Oxacillin
1728416,penicillin G,Drug,RxNorm,Ingredient,S,7980,19700101,20991231,NA,Penicillin
1742253,levofloxacin,Drug,RxNorm,Ingredient,S,82122,19700101,20991231,NA,Levofloxacin
1746114,piperacillin,Drug,RxNorm,Ingredient,S,8339,19700101,20991231,NA,Piperacillin-Tazobactam
1550557,prednisolone,Drug,RxNorm,Ingredient,S,8638,19700101,20991231,NA,Prednisolone
1763204,rifampin,Drug,RxNorm,Ingredient,S,9384,19700101,20991231,NA,Rifampicin
4273629,Chemotherapy,Procedure,SNOMED,Procedure,S,367336001,20020131,20991231,NA,Chemotherapy
