sourceCode,concept_id
factor VIII inhibitor titer,3024942
factor VIII inhibitor titer,44777562
factor VIII activity measurement,3022520
factor VIII activity measurement,3011832
factor VIII activity measurement,8985
factor VIII activity measurement,9332
factor VIII activity measurement,8554
Von Willebrand factor activity measurement,43534000
Von Willebrand factor activity measurement,8985
Von Willebrand factor activity measurement,9332
Von Willebrand factor activity measurement,8554
Von Willebrand factor antigen measurement,3002124
Von Willebrand factor antigen measurement,8985
Von Willebrand factor antigen measurement,9332
Von Willebrand factor antigen measurement,8554
Von Willebrand factor propeptide measurement,3023693
Von Willebrand factor propeptide measurement,3042349
Von Willebrand factor propeptide measurement,8763
activated partial thromboplastin time (APTT),4175016
activated partial thromboplastin time (APTT),8555
activated partial thromboplastin time (APTT),8523
Prothrombin time (PT),3034426
Prothrombin time (PT),8555
Prothrombin time (PT),8523
Prothrombin time (PT),8554
platelet count,37393863
platelet count,44777588
hematocrit,3009542
hematocrit,44777604
hematocrit,8554
fibrinogen,3016407
fibrinogen,8636
ALT,3006923
ALT,8645
AST,3013721
AST,8645
