sourceCode,concept_id
Prednisolone ,1550557 
Dexamethasone ,1518254 
Hydrocortisone ,975125 
Methylprednisolone ,1506270 
Chemotherapy ,4273629 
Monoclonal Antibodies ,21603754 
Penicillin ,1728416 
Ampicillin ,1717327 
Amoxicillin clavulanate ,1713332 
Amoxicillin clavulanate ,1759842 
Amoxicillin ,1713332 
Oxacillin ,1724703 
Piperacillin-Tazobactam ,1746114 
Piperacillin-Tazobactam ,1741122 
Cefazolin ,1771162 
Cefuroxime ,1778162 
Cefotaxime ,1774470 
Cefadroxil ,1769535 
Ceftazidime ,1776684 
Ceftazidime-Avibactam ,1776684 
Ceftazidime-Avibactam ,46221507 
Cefepime ,1748975 
Ceftolozane-Tazovactam ,45892599 
Ceftolozane-Tazovactam ,1741122 
Ertapenem ,1717963 
Imipenem ,1778262 
Meropenem ,1709170 
Teicoplanin ,19078399 
Vancomycin ,1707687 
Gentamicin ,45892419 
Amikacin ,1790868 
Tobramycin ,902722 
Erythromycin ,1746940 
Clarithromycin ,1750500 
Azithromycin ,1734104 
Tetracycline ,1836948 
Norfloxacin ,1721543 
Ciprofloxacin ,1797513 
Levofloxacin ,1742253 
Daptomycin ,1786617 
Clindamycin ,997881 
Fosfomycin ,956653 
Nitrofurantoin ,920293 
Rifampicin ,1763204 
Trimethoprim-Sulfamethoxazole ,1705674 
Trimethoprim-Sulfamethoxazole ,1836430 
Linezolid ,1736887 
Mupirocin ,951511 
Fusidic acid ,19010400 
Colistin ,901845 
